@relation target-classification

@attribute class {human, dog}
@attribute oldVel1 numeric 
@attribute oldVel2 numeric 
@attribute oldVel3 numeric 
@attribute newVel1 numeric 
@attribute newVel2 numeric 
@attribute newVel3 numeric 
@attribute dist numeric 
@attribute time numeric 
@attribute distTimeProd numeric 
@attribute distTimeRatio numeric 
@attribute fftfreq numeric 
@attribute fftmoment numeric 
@attribute percentFreq numeric 
@attribute secMoment numeric 
@attribute maxFreq numeric 
@attribute freqWidth numeric 
@attribute accRange numeric 
@attribute veloMinMax numeric 
@data 
dog,0.895,0.895,0.895,0.715,0.715,0.715,2.858,3.000,8.574,0.953,11715.750,0.581,0.332,1065.830,123.300,106.000,0.878,0.451
dog,0.921,0.921,0.921,1.619,1.619,1.619,2.625,2.000,5.251,1.313,14530.750,0.650,0.401,2182.810,-22.100,140.000,1.113,0.658
dog,1.899,1.384,0.971,2.311,1.236,1.143,5.485,6.000,32.909,0.914,3353.897,0.234,0.129,1049.794,81.900,79.000,0.516,0.483
dog,0.826,0.640,0.431,0.970,0.546,0.396,4.665,10.000,46.653,0.467,2116.577,0.193,0.094,528.302,69.000,50.000,0.391,0.286
dog,0.850,0.850,0.850,0.093,0.093,0.093,3.421,3.000,10.262,1.140,11738.688,0.531,0.310,4465.292,141.200,132.000,1.108,0.555
dog,1.445,1.445,1.445,1.662,1.662,1.662,3.171,3.000,9.513,1.057,9711.500,0.507,0.310,1351.011,102.900,117.000,0.601,0.707
dog,0.735,0.735,0.735,0.291,0.291,0.291,2.242,3.000,6.727,0.747,10843.438,0.564,0.290,2685.893,95.400,81.000,0.598,0.386
dog,1.555,1.516,1.516,2.180,1.652,1.652,3.821,4.000,15.285,0.955,7150.792,0.392,0.215,1870.788,123.200,106.000,0.250,0.495
dog,0.673,0.673,0.673,0.231,0.231,0.231,2.664,2.000,5.327,1.332,14483.500,0.728,0.448,340.722,-17.700,126.000,0.783,0.523
dog,1.167,1.167,1.167,0.864,0.864,0.864,2.587,2.000,5.174,1.293,8731.250,0.569,0.352,413.986,-11.900,90.000,0.224,0.656
dog,0.946,0.946,0.946,0.041,0.041,0.041,2.891,3.000,8.674,0.964,7250.750,0.445,0.266,787.020,99.400,96.000,1.790,0.568
dog,1.222,1.222,1.222,0.280,0.280,0.280,3.330,3.000,9.990,1.110,6814.125,0.430,0.266,620.332,112.300,90.000,0.323,0.537
dog,0.982,0.982,0.982,1.176,1.176,1.176,2.120,2.000,4.239,1.060,7524.000,0.501,0.285,652.589,-10.200,81.000,0.431,0.542
dog,1.137,1.137,1.137,1.219,1.219,1.219,3.076,3.000,9.229,1.025,5574.625,0.369,0.208,650.451,-9.600,74.000,0.383,0.554
dog,1.264,1.264,1.264,1.033,1.033,1.033,3.247,3.000,9.740,1.082,6335.250,0.410,0.226,763.874,91.400,86.000,0.446,0.598
dog,0.920,0.648,0.567,1.139,0.707,0.528,2.406,5.000,12.030,0.481,3162.031,0.251,0.120,155.773,45.300,49.000,0.170,0.241
human,2.402,2.020,1.613,2.369,2.009,1.565,13.060,17.000,222.025,0.768,11838.795,0.455,0.243,5812.905,144.400,112.000,0.753,0.416
human,3.239,2.954,2.136,3.270,2.930,2.122,10.454,12.000,125.449,0.871,20398.230,0.724,0.459,7415.372,129.800,233.000,0.205,0.610
human,2.455,2.037,1.738,2.768,2.313,1.909,11.881,16.000,190.093,0.743,3809.686,0.290,0.181,1150.379,97.400,109.000,0.300,0.440
human,2.031,1.793,1.667,2.269,2.091,1.959,9.935,13.000,129.154,0.764,3374.095,0.267,0.166,883.539,84.100,95.000,0.135,0.377
human,3.012,2.826,2.437,3.106,2.806,2.497,11.519,12.000,138.232,0.960,19761.644,0.694,0.478,8486.629,162.200,233.000,0.525,0.564
human,2.093,1.887,1.870,2.378,2.006,1.900,6.196,6.000,37.178,1.033,7212.550,0.311,0.157,3434.168,84.400,94.000,1.018,0.530
human,2.603,2.272,1.893,2.711,2.416,1.827,8.160,9.000,73.443,0.907,5327.968,0.262,0.142,1500.478,158.100,97.000,0.111,0.605
human,1.964,1.749,1.482,2.097,1.914,1.859,5.517,8.000,44.139,0.690,14210.196,0.489,0.275,5104.138,128.000,74.000,0.154,0.483
human,2.550,2.030,1.419,2.684,2.130,1.260,7.761,9.000,69.845,0.862,3227.905,0.217,0.124,622.231,71.100,83.000,0.200,0.528
human,0.689,0.657,0.631,0.784,0.654,0.647,3.201,8.000,25.611,0.400,6706.946,0.238,0.101,2138.612,166.100,54.000,0.070,0.214
human,1.804,1.109,0.938,1.883,1.222,0.882,5.322,11.000,58.545,0.484,16084.430,0.574,0.314,6841.198,165.000,119.000,0.321,0.337
human,1.841,1.798,1.324,1.946,1.829,1.372,5.998,9.000,53.982,0.666,13637.000,0.485,0.256,4602.533,154.000,93.000,0.551,0.425
human,1.310,1.080,1.030,1.332,1.071,0.923,5.278,8.000,42.226,0.660,6393.375,0.279,0.120,1757.772,154.500,67.000,0.407,0.333
human,1.057,0.893,0.518,1.234,0.867,0.480,3.100,6.000,18.602,0.517,2695.500,0.169,0.077,615.509,48.300,49.000,0.110,0.275
human,2.899,1.653,1.554,3.273,1.836,1.623,7.519,10.000,75.186,0.752,20760.549,0.705,0.453,8587.724,167.600,238.000,0.254,0.650
human,1.900,1.775,1.567,2.097,2.022,1.623,6.241,9.000,56.170,0.693,18855.571,0.640,0.389,7741.810,145.000,123.000,1.101,0.459
human,1.714,1.242,1.120,1.808,1.344,1.336,5.228,8.000,41.827,0.654,12141.393,0.443,0.228,4380.298,167.400,111.000,0.724,0.436
