@relation target-classification

@attribute class {human, car}
@attribute oldVel1 numeric 
@attribute oldVel2 numeric 
@attribute oldVel3 numeric 
@attribute newVel1 numeric 
@attribute newVel2 numeric 
@attribute newVel3 numeric 
@attribute dist numeric 
@attribute time numeric 
@attribute distTimeProd numeric 
@attribute distTimeRatio numeric 
@attribute fftfreq numeric 
@attribute fftmoment numeric 
@attribute percentFreq numeric 
@attribute secMoment numeric 
@attribute maxFreq numeric 
@attribute freqWidth numeric 
@attribute accRange numeric 
@attribute veloMinMax numeric 
@data 
human,1.350,1.299,1.299,1.391,1.368,1.368,3.586,3.697,13.255,0.970,1664.476,0.132,0.072,463.505,-3.600,57.000,0.150,0.304
human,1.761,1.678,1.513,1.788,1.745,1.486,5.809,7.628,44.312,0.762,2259.288,0.206,0.129,534.730,63.700,68.000,0.193,0.325
human,1.892,1.391,1.354,1.919,1.554,1.403,8.811,9.892,87.155,0.891,2011.171,0.177,0.100,533.931,69.000,74.000,0.916,0.353
human,2.024,1.997,1.888,2.033,1.996,1.964,5.001,5.634,28.174,0.888,2588.389,0.218,0.137,869.571,-5.600,79.000,0.351,0.389
human,1.350,1.336,1.326,1.370,1.340,1.332,4.292,5.580,23.949,0.769,1367.972,0.143,0.085,311.010,50.100,52.000,0.886,0.257
car,2.216,2.152,2.152,2.435,2.408,2.408,6.314,4.739,29.920,1.332,622.345,0.045,0.015,147.172,-1000.000,18.000,0.840,0.491
car,2.074,1.838,1.574,1.903,1.902,1.521,9.045,6.856,62.014,1.319,1322.109,0.093,0.042,587.585,47.500,52.000,0.175,0.562
car,2.331,2.211,1.990,2.777,2.563,1.948,8.185,5.856,47.931,1.398,1422.947,0.108,0.052,351.538,62.500,42.000,1.206,0.624
car,2.065,2.001,2.001,2.611,2.245,2.245,5.903,4.423,26.110,1.334,826.630,0.063,0.027,291.763,54.400,29.000,0.060,0.619
car,2.450,2.429,2.011,2.842,2.671,2.185,7.944,5.871,46.637,1.353,850.895,0.060,0.026,313.000,-12.400,33.000,0.174,0.587
