@relation target-classification

@attribute class {human, car}
@attribute oldVel1 numeric 
@attribute oldVel2 numeric 
@attribute oldVel3 numeric 
@attribute newVel1 numeric 
@attribute newVel2 numeric 
@attribute newVel3 numeric 
@attribute dist numeric 
@attribute time numeric 
@attribute distTimeProd numeric 
@attribute distTimeRatio numeric 
@attribute fftfreq numeric 
@attribute fftmoment numeric 
@attribute percentFreq numeric 
@attribute secMoment numeric 
@attribute maxFreq numeric 
@attribute freqWidth numeric 
@attribute accRange numeric 
@attribute veloMinMax numeric 
@data 
human,0.382,0.290,0.255,0.360,0.318,0.214,0.462,0.357,0.230,0.672,0.098,0.170,0.118,0.077,0.890,0.121,0.724,0.230
human,0.694,0.720,0.704,0.655,0.727,0.594,0.425,0.339,0.207,0.630,0.544,0.622,0.643,0.595,0.999,0.471,0.499,0.408
human,0.397,0.429,0.466,0.400,0.419,0.376,0.156,0.258,0.079,0.154,0.594,0.706,0.807,1.000,0.860,1.000,0.254,0.280
human,0.229,0.248,0.280,0.180,0.218,0.229,0.278,0.322,0.141,0.338,0.155,0.292,0.246,0.093,0.861,0.161,0.288,0.147
human,0.665,0.640,0.758,0.577,0.611,0.640,0.400,0.426,0.232,0.415,1.000,1.000,0.999,0.715,0.961,0.591,0.201,0.341
human,0.668,0.575,0.532,0.615,0.566,0.431,0.398,0.483,0.254,0.329,0.651,0.737,0.737,0.567,0.881,0.433,0.101,0.419
human,0.256,0.273,0.335,0.251,0.284,0.278,0.184,0.196,0.074,0.349,0.092,0.208,0.182,0.061,0.919,0.133,0.949,0.164
human,0.250,0.273,0.313,0.205,0.256,0.243,0.214,0.209,0.087,0.408,0.096,0.207,0.165,0.039,0.860,0.152,0.196,0.158
human,0.226,0.188,0.123,0.206,0.112,0.086,0.436,0.580,0.314,0.271,0.122,0.249,0.215,0.122,0.950,0.189,0.121,0.143
car,1.000,1.000,1.000,0.964,1.000,1.000,0.279,0.211,0.107,0.588,0.095,0.138,0.105,0.056,0.851,0.118,0.479,0.611
car,0.510,0.541,0.674,0.753,0.562,0.628,0.086,0.059,0.021,0.397,0.308,0.416,0.295,0.180,0.963,0.192,0.004,0.962
car,0.903,0.805,0.798,1.000,0.847,0.403,0.473,0.279,0.199,0.902,0.226,0.280,0.189,0.141,0.948,0.183,0.377,0.999
car,0.214,0.053,0.066,0.147,0.092,0.102,0.062,0.075,0.019,0.239,0.098,0.168,0.097,0.029,0.843,0.050,0.368,0.315
car,0.725,0.536,0.630,0.761,0.508,0.514,0.425,0.363,0.217,0.581,0.059,0.116,0.090,0.036,0.920,0.093,0.537,0.524
car,1.000,1.000,1.000,0.964,1.000,1.000,0.279,0.211,0.107,0.588,0.095,0.138,0.105,0.056,0.851,0.118,0.479,0.611
human,0.329,0.316,0.377,0.290,0.319,0.280,0.239,0.249,0.106,0.386,0.171,0.323,0.311,0.163,0.951,0.211,0.366,0.188
human,0.557,0.416,0.242,0.498,0.412,0.226,0.703,0.681,0.535,0.535,0.176,0.284,0.272,0.266,0.904,0.291,0.020,0.322
human,0.392,0.185,0.156,0.392,0.205,0.119,0.692,0.918,0.673,0.283,0.188,0.317,0.313,0.535,0.956,1.000,0.031,0.219
human,0.336,0.307,0.283,0.299,0.320,0.215,0.588,0.768,0.505,0.290,0.171,0.322,0.286,0.153,0.917,0.266,0.718,0.200
human,0.424,0.302,0.284,0.392,0.254,0.240,0.611,0.755,0.515,0.332,0.171,0.321,0.294,0.162,0.957,0.279,0.115,0.212
human,0.418,0.217,0.257,0.364,0.234,0.193,0.598,0.779,0.518,0.293,0.185,0.335,0.301,0.183,0.912,0.279,0.717,0.182
