@relation target-classification

@attribute class {noise, human, dog}
@attribute oldVel1 numeric 
@attribute oldVel2 numeric 
@attribute oldVel3 numeric 
@attribute newVel1 numeric 
@attribute newVel2 numeric 
@attribute newVel3 numeric 
@attribute dist numeric 
@attribute time numeric 
@attribute distTimeProd numeric 
@attribute distTimeRatio numeric 
@attribute fftfreq numeric 
@attribute fftmoment numeric 
@attribute percentFreq numeric 
@attribute secMoment numeric 
@attribute maxFreq numeric 
@attribute freqWidth numeric 
@data 
dog,1.105,1.105,1.105,0.986,0.986,0.986,6.202,3.000,18.607,2.067,10402.750,0.357,0.166,2238.916,-26.800,48.000
dog,0.887,0.800,0.800,0.846,0.118,0.118,6.037,4.000,24.146,1.509,7861.750,0.340,0.152,2648.339,-12.200,48.000
dog,3.143,3.049,2.558,4.064,4.014,2.497,9.109,5.000,45.546,1.822,7458.969,0.304,0.156,2908.172,127.700,108.000
dog,0.837,0.837,0.837,0.664,0.664,0.664,4.070,2.000,8.140,2.035,19281.875,0.854,0.599,2378.399,-27.900,157.000
dog,1.581,1.581,1.581,0.046,0.046,0.046,5.293,3.000,15.880,1.764,11507.625,0.604,0.388,1077.896,125.200,131.000
dog,1.253,1.253,1.253,0.583,0.583,0.583,4.523,3.000,13.569,1.508,7712.313,0.460,0.263,1877.712,120.200,115.000
dog,1.483,1.456,1.433,2.103,1.904,1.213,7.017,5.000,35.086,1.403,3457.344,0.231,0.122,1245.609,76.800,83.000
dog,1.144,1.144,1.144,0.664,0.664,0.664,4.264,3.000,12.791,1.421,4948.875,0.346,0.194,1033.645,107.000,85.000
dog,1.232,1.232,1.232,0.532,0.532,0.532,4.082,3.000,12.245,1.361,4929.000,0.359,0.202,946.902,72.100,92.000
dog,1.780,1.683,1.683,1.509,0.357,0.357,6.038,4.000,24.152,1.510,5932.708,0.347,0.190,1688.550,108.800,98.000
dog,1.542,1.474,1.474,0.972,0.440,0.440,7.267,4.000,29.069,1.817,11635.417,0.507,0.300,4168.660,145.500,142.000
dog,2.063,2.063,2.063,0.392,0.392,0.392,5.703,3.000,17.108,1.901,13273.188,0.653,0.418,1176.658,129.600,135.000
dog,1.240,1.240,1.240,0.002,0.002,0.002,4.069,2.000,8.138,2.035,21012.875,0.954,0.720,1294.965,-22.700,162.000
dog,1.968,1.968,1.968,0.509,0.509,0.509,5.263,3.000,15.788,1.754,13151.188,0.666,0.406,761.445,129.300,131.000
dog,0.866,0.866,0.866,0.798,0.798,0.798,4.115,3.000,12.345,1.372,2327.125,0.191,0.093,750.868,43.600,53.000
dog,0.866,0.808,0.808,1.068,0.339,0.339,4.958,4.000,19.831,1.239,1259.375,0.128,0.054,348.614,50.400,40.000
dog,0.895,0.895,0.895,0.372,0.372,0.372,4.008,3.000,12.023,1.336,4156.500,0.318,0.179,1070.874,80.600,81.000
dog,1.028,1.028,1.028,0.832,0.832,0.832,4.077,3.000,12.231,1.359,2057.437,0.171,0.073,666.271,46.200,45.000
dog,1.577,1.577,1.577,2.322,2.322,2.322,5.676,3.000,17.027,1.892,8275.563,0.260,0.116,3516.513,-77.300,58.000
dog,0.734,0.734,0.734,0.357,0.189,0.189,7.866,4.000,31.466,1.967,8650.750,0.261,0.138,5118.245,-78.400,110.000
dog,1.410,1.362,1.362,1.888,1.633,1.633,7.386,4.000,29.543,1.846,7073.042,0.224,0.098,4272.646,-76.500,98.000
dog,0.849,0.849,0.849,0.552,0.552,0.552,6.445,3.000,19.335,2.148,9042.938,0.271,0.152,4094.509,-89.500,88.000
dog,1.244,1.244,1.244,2.711,2.711,2.711,4.088,2.000,8.177,2.044,9871.250,0.309,0.187,2173.974,-82.800,63.000
dog,3.754,3.599,3.599,5.101,4.464,4.464,8.048,4.000,32.192,2.012,8887.792,0.321,0.180,2785.579,-45.600,86.000
dog,0.790,0.790,0.790,0.372,0.372,0.372,5.918,3.000,17.755,1.973,10907.438,0.405,0.203,4683.430,-7.400,79.000
dog,3.235,3.209,3.209,4.496,3.695,3.695,8.265,4.000,33.061,2.066,7952.542,0.266,0.144,3902.502,-43.000,102.000
dog,1.346,1.346,1.346,1.803,1.803,1.803,5.818,3.000,17.453,1.939,8619.000,0.262,0.143,4657.587,-73.600,100.000
dog,1.168,1.168,1.168,1.522,1.522,1.522,5.058,3.000,15.174,1.686,3061.000,0.112,0.024,964.146,137.800,18.000
dog,1.615,1.615,1.615,2.372,2.372,2.372,5.723,3.000,17.168,1.908,6112.563,0.192,0.087,2119.239,-51.100,58.000
dog,2.081,2.081,2.081,2.982,2.982,2.982,4.876,3.000,14.629,1.625,2226.125,0.104,0.042,425.478,-55.400,32.000
dog,1.405,1.306,1.306,1.995,1.504,1.504,6.141,4.000,24.564,1.535,1806.792,0.076,0.020,482.771,106.500,12.000
dog,2.569,2.569,2.569,3.619,3.619,3.619,4.943,3.000,14.829,1.648,3585.250,0.163,0.075,745.302,-26.800,42.000
dog,1.047,1.047,1.047,1.392,1.392,1.392,5.538,3.000,16.615,1.846,5752.875,0.185,0.067,1974.846,139.600,29.000
dog,2.227,2.179,2.179,3.066,2.826,2.826,6.679,4.000,26.718,1.670,3685.583,0.155,0.070,1792.065,-14.800,48.000
dog,2.019,1.955,1.955,2.725,2.548,2.548,7.023,4.000,28.090,1.756,4983.708,0.190,0.080,2128.483,142.500,40.000
dog,1.027,0.973,0.932,1.360,1.261,1.002,6.124,6.000,36.744,1.021,1314.615,0.130,0.059,363.461,55.300,43.000
